id,zip,bfsnr,name,canton_id,district_id,planning_region_id,mountain_region_id,ase,greater_region_id,language_region_id,ms_region_id,job_market_region_id,agglomeration_id,metropole_region_id,tourism_region_id,municipal_size_class_id,urban_character_id,agglomeration_size_class_id,is_town,degurba_id,municipal_type22_id,municipal_type9_id,ms_region_typology_id
1,1000,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
2,1003,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
3,1004,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
4,1005,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
5,1006,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
6,1006,5590,Pully,22,2226,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,1,5,3,1
7,1007,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
8,1008,5585,Jouxtens-Mézery,22,2225,2201,1,0,1,2,84,2,5586,2,9,7,2,2,0,1,5,3,1
9,1008,5589,Prilly,22,2229,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,1,9,2,1
10,1008,5591,Renens (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,3,2,2,1,1,9,2,1
11,1009,5590,Pully,22,2226,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,1,5,3,1
12,1010,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
13,1011,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
14,1012,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
15,1015,5627,Chavannes-près-Renens,22,2229,2201,1,0,1,2,84,2,5586,2,9,5,2,2,0,1,10,2,1
16,1015,5635,Ecublens (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,2,9,2,1
17,1015,5648,Saint-Sulpice (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,6,2,2,0,2,5,3,1
18,1018,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
19,1020,5591,Renens (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,3,2,2,1,1,9,2,1
20,1022,5627,Chavannes-près-Renens,22,2229,2201,1,0,1,2,84,2,5586,2,9,5,2,2,0,1,10,2,1
21,1023,5583,Crissier,22,2229,2201,1,0,1,2,84,2,5586,2,9,5,2,2,1,2,9,2,1
22,1023,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
23,1024,5635,Ecublens (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,2,9,2,1
24,1024,5648,Saint-Sulpice (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,6,2,2,0,2,5,3,1
25,1025,5648,Saint-Sulpice (VD),22,2229,2201,1,0,1,2,84,2,5586,2,9,6,2,2,0,2,5,3,1
26,1026,5632,Denges,22,2227,2202,1,0,1,2,85,2,5586,2,9,7,2,2,0,2,9,2,2
27,1026,5633,Echandens,22,2227,2202,1,0,1,2,85,2,5586,2,9,6,2,2,0,3,11,4,2
28,1027,5633,Echandens,22,2227,2202,1,0,1,2,85,2,5586,2,9,6,2,2,0,3,11,4,2
29,1027,5638,Lonay,22,2227,2202,1,0,1,2,85,2,5586,2,9,6,2,2,0,2,9,2,2
30,1028,5643,Préverenges,22,2227,2202,1,0,1,2,85,2,5586,2,9,5,2,2,0,2,10,2,2
31,1029,5651,Villars-Sainte-Croix,22,2229,2201,1,0,1,2,84,2,5586,2,9,8,2,2,0,2,9,2,1
32,1030,5624,Bussigny,22,2229,2201,1,0,1,2,84,2,5586,2,9,5,2,2,1,2,9,2,1
33,1031,5489,Mex (VD),22,2223,2210,1,0,1,2,90,2,5586,2,9,8,4,2,0,3,9,2,3
34,1032,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
35,1032,5592,Romanel-sur-Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,6,2,2,0,1,10,2,1
36,1033,5582,Cheseaux-sur-Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,2,10,2,1
37,1033,5583,Crissier,22,2229,2201,1,0,1,2,84,2,5586,2,9,5,2,2,1,2,9,2,1
38,1033,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
39,1034,5473,Boussens,22,2223,2210,1,0,1,2,90,2,5586,2,9,8,4,2,0,3,11,4,3
40,1035,5472,Bournens,22,2223,2210,1,0,1,2,90,2,0,0,9,8,4,2,0,3,15,7,3
41,1036,5501,Sullens,22,2223,2210,1,0,1,2,90,2,5586,2,9,8,4,2,0,3,11,4,3
42,1037,5521,Etagnières,22,2223,2211,1,0,1,2,90,2,5586,2,9,7,4,2,0,2,11,4,3
43,1038,5512,Bercher,22,2223,2211,1,0,1,2,90,2,0,0,9,7,4,2,0,3,15,7,3
44,1038,5661,Boulens,22,2223,2218,1,0,1,2,93,2,0,0,9,8,4,2,0,3,20,8,11
45,1038,5693,Montanaire,22,2223,2218,1,0,1,2,93,2,0,0,9,6,4,2,0,3,20,8,11
46,1040,5518,Echallens,22,2223,2211,1,0,1,2,90,2,5586,2,9,5,4,2,0,3,10,2,3
47,1040,5535,Saint-Barthélemy (VD),22,2223,2211,1,0,1,2,90,2,5586,2,9,8,4,2,0,3,11,4,3
48,1040,5537,Villars-le-Terroir,22,2223,2211,1,0,1,2,90,2,0,0,9,8,4,2,0,3,16,7,3
49,1041,5514,Bottens,22,2223,2201,1,0,1,2,84,2,5586,2,9,7,4,2,0,3,11,4,1
50,1041,5533,Poliez-Pittet,22,2223,2211,1,0,1,2,90,2,0,0,9,8,4,2,0,3,16,7,3
51,1041,5540,Montilliez,22,2223,2211,1,0,1,2,90,2,0,0,9,7,4,2,0,3,15,7,3
52,1041,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
53,1042,5471,Bettens,22,2223,2210,1,0,1,2,90,2,0,0,9,8,4,2,0,3,15,7,3
54,1042,5511,Assens,22,2223,2211,1,0,1,2,90,2,5586,2,9,7,4,2,0,3,11,4,3
55,1042,5513,Bioley-Orjulaz,22,2223,2211,1,0,1,2,90,2,5586,2,9,8,4,2,0,3,11,4,3
56,1043,5540,Montilliez,22,2223,2211,1,0,1,2,90,2,0,0,9,7,4,2,0,3,15,7,3
57,1044,5522,Fey,22,2223,2211,1,0,1,2,90,2,0,0,9,8,4,2,0,3,15,7,3
58,1045,5680,Ogens,22,2223,2218,1,0,1,2,93,2,0,0,9,8,4,2,0,3,15,7,11
59,1045,5903,Bioley-Magnoux,22,2224,2212,1,0,1,2,91,2,0,0,9,8,4,2,0,3,20,8,5
60,1046,5534,Rueyres,22,2223,2211,1,0,1,2,90,2,0,0,9,8,4,2,0,3,20,8,3
61,1047,5534,Rueyres,22,2223,2211,1,0,1,2,90,2,0,0,9,8,4,2,0,3,20,8,3
62,1047,5923,Oppens,22,2223,2212,1,0,1,2,91,2,0,0,9,8,5,0,0,3,21,9,5
63,1052,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
64,1052,5587,Le Mont-sur-Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,5,2,2,0,1,9,2,1
65,1053,5515,Bretigny-sur-Morrens,22,2223,2201,1,0,1,2,84,2,5586,2,9,8,4,2,0,2,10,2,1
66,1053,5516,Cugy (VD),22,2223,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,2,11,4,1
67,1053,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
68,1054,5527,Morrens (VD),22,2223,2201,1,0,1,2,84,2,5586,2,9,7,4,2,0,2,11,4,1
69,1055,5523,Froideville,22,2223,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,3,11,4,1
70,1058,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
71,1059,5673,Hermenches,22,2222,2218,1,0,1,2,93,2,0,0,9,8,4,2,0,3,16,7,11
72,1059,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
73,1061,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
74,1062,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
75,1063,5661,Boulens,22,2223,2218,1,0,1,2,93,2,0,0,9,8,4,2,0,3,20,8,11
76,1063,5693,Montanaire,22,2223,2218,1,0,1,2,93,2,0,0,9,6,4,2,0,3,20,8,11
77,1063,5804,Jorat-Menthue,22,2223,2218,1,0,1,2,93,2,0,0,9,7,4,2,0,3,15,7,11
78,1066,5584,Epalinges,22,2225,2201,1,0,1,2,84,2,5586,2,9,5,2,2,0,1,10,2,1
79,1066,5586,Lausanne,22,2225,2201,1,0,1,2,84,2,5586,2,9,1,1,2,1,1,1,1,1
80,1068,5590,Pully,22,2226,2201,1,0,1,2,84,2,5586,2,9,4,2,2,1,1,5,3,1
81,1070,5607,Puidoux,22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,20,8,4
82,1070,5613,Bourg-en-Lavaux,22,2226,2206,1,0,1,2,87,2,5586,2,9,5,4,2,0,2,11,4,4
83,1070,5882,Chardonne,22,2230,2207,1,0,1,2,87,2,5890,2,9,6,2,4,0,2,8,6,4
84,1071,5601,Chexbres,22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,15,7,4
85,1071,5607,Puidoux,22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,20,8,4
86,1071,5609,Rivaz,22,2226,2206,1,0,1,2,87,2,0,0,9,8,4,2,0,3,20,8,4
87,1071,5610,Saint-Saphorin (Lavaux),22,2226,2206,1,0,1,2,87,2,0,0,9,8,4,2,0,3,15,7,4
88,1071,5882,Chardonne,22,2230,2207,1,0,1,2,87,2,5890,2,9,6,2,4,0,2,8,6,4
89,1072,5604,Forel (Lavaux),22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,15,7,4
90,1073,5604,Forel (Lavaux),22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,15,7,4
91,1073,5611,Savigny,22,2226,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,3,11,4,1
92,1076,5789,Ferlens (VD),22,2226,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,15,7,11
93,1077,5799,Servion,22,2226,2219,1,0,1,2,93,2,5586,2,9,7,4,2,0,3,11,4,11
94,1078,5788,Essertes,22,2226,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,15,7,11
95,1080,5604,Forel (Lavaux),22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,15,7,4
96,1080,5799,Servion,22,2226,2219,1,0,1,2,93,2,5586,2,9,7,4,2,0,3,11,4,11
97,1081,5792,Montpreveyres,22,2226,2219,1,0,1,2,93,2,5586,2,9,8,4,2,0,3,11,4,11
98,1082,5785,Corcelles-le-Jorat,22,2222,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,21,9,11
99,1083,5782,Carrouge (VD),22,2222,2219,1,0,1,2,93,2,5586,2,9,7,4,2,0,3,11,4,11
100,1083,5791,Mézières (VD),22,2226,2219,1,0,1,2,93,2,5586,2,9,7,4,2,0,3,11,4,11
101,1084,5782,Carrouge (VD),22,2222,2219,1,0,1,2,93,2,5586,2,9,7,4,2,0,3,11,4,11
102,1084,5803,Vulliens,22,2222,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,20,8,11
103,1085,5803,Vulliens,22,2222,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,20,8,11
104,1088,5798,Ropraz,22,2222,2219,1,0,1,2,93,2,0,0,9,8,4,2,0,3,20,8,11
105,1090,5606,Lutry,22,2226,2201,1,0,1,2,84,2,5586,2,9,5,2,2,0,1,5,3,1
106,1090,5611,Savigny,22,2226,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,3,11,4,1
107,1091,5604,Forel (Lavaux),22,2226,2206,1,0,1,2,87,2,0,0,9,6,4,2,0,3,15,7,4
108,1091,5611,Savigny,22,2226,2201,1,0,1,2,84,2,5586,2,9,6,4,2,0,3,11,4,1
